Year,Country,GDP,GDP per capita,Population,Government expenditure on education,Expenditure on tertiary education,"School enrollment, tertiary",Continent
2019,Canada,1.74373E+12,46352.86934,37618495.0,12.65248013,..,72.81506348,North America
2019,Cayman Islands,5941896600,89846.3211,66134.0,14.95800018,..,39.87599945,North America
2019,Central African Republic,2221301351,426.4087531,5209324.0,9.798000336,..,..,Africa
2019,Chad,11314951092,701.621201,16126866.0,14.21399975,..,..,Africa
2019,Channel Islands,9921386550,58564.3501,169410.0,..,..,..,Europe
2019,Chile,2.78285E+11,14616.20725,19039485.0,21.23353004,..,92.06597137,South America
2019,Colombia,3.23032E+11,6436.509215,50187406.0,13.71910954,..,56.66630173,South America
2019,Comoros,1195019532,1510.797324,790986.0,..,..,..,Africa
2019,"Congo, Dem. Rep.",51775829877,575.8827814,89906890.0,..,..,..,Africa
2019,"Congo, Rep.",13976637329,2508.940444,5570733.0,17.93099976,..,..,Africa
2019,Costa Rica,64417670521,12669.34115,5084532.0,..,..,54.71897125,North America
2019,Cote d'Ivoire,60382894697,2309.313583,26147551.0,19.84606934,..,9.912610054,Africa
2019,Croatia,61867157679,15218.5258,4065253.0,10.97616482,..,68.96237183,Europe
2019,Cuba,1.03428E+11,9139.38051,11316697.0,14.22599983,..,43.99377823,North America
2019,Curacao,3026124134,19220.6867,157441.0,..,..,15.28100014,North America
2019,Cyprus,25947020102,29419.99219,1228836.0,13.50742531,..,88.48532867,Asia
2019,Czechia,2.52548E+11,23664.84786,10671870.0,11.84270382,..,66.88021851,Europe
2019,Denmark,3.46499E+11,59592.98069,5814422.0,12.74289989,..,81.69458771,Europe
2019,Djibouti,3088853639,2876.043664,1073994.0,..,..,..,Africa
2019,Dominica,611537037,8561.587011,71428.0,8.298299789,..,..,North America
2019,Dominican Republic,88941372558,8173.344699,10881882.0,20.00900078,..,64.41000366,North America
2019,Ecuador,1.07596E+11,6203.727051,17343740.0,10.67455006,..,48.08787918,South America
2019,El Salvador,26881140000,4280.288404,6280217.0,14.33106995,..,28.36889076,North America
2019,Equatorial Guinea,11364133550,7317.390026,1553031.0,..,..,5.373000145,Africa
2019,Eritrea,..,..,3498818.0,..,..,..,Africa
2019,Estonia,31290453294,23581.65684,1326898.0,15.52501392,..,72.7060318,Europe
2019,Eswatini,4495267266,3843.380046,1169613.0,18.50699997,..,..,Africa
2019,Ethiopia,95912607722,840.4496013,114120594.0,20.92200089,..,..,Africa
2019,Faroe Islands,3266432734,63203.74478,51681.0,..,..,..,Europe
2019,Fiji,5444407198,5927.72419,918465.0,14.05000019,..,50.55891037,Oceania
2019,Finland,2.68515E+11,48629.85823,5521606.0,10.5227766,..,94.58911896,Europe
2019,France,2.72887E+12,40494.89829,67388001.0,9.481998444,..,67.73313141,Europe
2019,French Polynesia,6022276196,20093.20858,299717.0,..,..,..,Oceania
2019,Gabon,16874405460,7523.862278,2242785.0,14.07400036,..,19.62000084,Africa
2019,"Gambia, The",1813609692,722.8753563,2508883.0,14.09700012,..,..,Africa
2019,Georgia,17638337117,4741.283272,3720161.0,14.14191246,..,69.01641083,Asia
2019,Germany,3.88918E+12,46805.13843,83092962.0,9.726378441,..,72.70507813,Europe
2019,Ghana,68337969248,2167.925276,31522290.0,14.27200031,..,17.43388939,Africa
2019,Gibraltar,..,..,32685.0,7.364999771,..,..,Europe
2019,Greece,2.05253E+11,19143.88762,10721582.0,8.355419159,..,142.3881073,Europe
2019,Greenland,2997309972,53309.20359,56225.0,..,..,..,North America
2019,Grenada,1213485185,9887.920742,122724.0,..,..,..,North America
2019,Guam,6355000000,37687.39918,168624.0,..,..,..,Oceania
2019,Guatemala,77172317259,4647.807541,16604026.0,18.54369736,..,22.65051079,North America
2019,Guinea,13442861496,1043.899886,12877539.0,12.40536022,..,6.843999863,Africa
2019,Guinea-Bissau,1486476582,754.3816394,1970457.0,..,..,..,Africa
2019,Guyana,5173760192,6477.296726,798753.0,..,..,..,South America
2019,Haiti,15016090930,1345.475055,11160438.0,12.86200047,..,..,North America
2019,Honduras,24882225742,2498.509186,9958829.0,..,..,25.12657928,North America
2019,Hungary,1.6402E+11,16786.21364,9771141.0,10.19274426,..,52.36026001,Europe
2019,Iceland,24681343649,68452.23622,360563.0,16.13585663,..,70.60935211,Europe
2019,Ireland,3.98933E+11,80848.3019,4934340.0,13.21244431,..,75.17993927,Europe
